Time [s],Dn,Dp,out_en
0.293366230,0,1,1
0.293366250,1,0,1
0.293366340,1,1,1
0.293366350,0,1,1
0.293366420,1,0,1
0.293366500,0,1,1
0.293366590,0,0,1
0.293366600,1,0,1
0.293366670,0,1,1
0.293366750,1,0,1
0.293366920,0,1,1
0.293367090,1,0,1
0.293367170,0,1,1
0.293367340,1,0,1
0.293367590,0,0,1
0.293367750,0,1,1
0.293367860,0,1,0
0.293468950,1,0,0
0.293469040,0,1,0
0.293469120,1,0,0
0.293469200,0,1,0
0.293469290,1,0,0
0.293469370,0,1,0
0.293469450,1,0,0
0.293469700,0,1,0
0.293469870,1,0,0
0.293469950,0,1,0
0.293470120,1,0,0
0.293470290,0,1,0
0.293470450,1,0,0
0.293470620,0,1,0
0.293471200,1,0,0
0.293471290,0,1,0
0.293471370,1,0,0
0.293471620,0,1,0
0.293471700,0,0,0
0.293471870,0,1,0
0.293473040,1,0,0
0.293473120,0,1,0
0.293473200,1,0,0
0.293473290,0,1,0
0.293473370,1,0,0
0.293473450,0,1,0
0.293473540,1,0,0
0.293473790,0,1,0
0.293473870,1,0,0
0.293474040,0,1,0
0.293474290,1,0,0
0.293474450,0,1,0
0.293474540,1,0,0
0.293474620,0,1,0
0.293474700,1,0,0
0.293474790,0,1,0
0.293474950,1,0,0
0.293475040,0,1,0
0.293475120,1,0,0
0.293475200,0,1,0
0.293475290,1,0,0
0.293475540,0,1,0
0.293475700,0,0,0
0.293475870,0,1,0
0.293476090,0,1,1
0.293476110,0,0,1
0.293476120,1,0,1
0.293476190,0,1,1
0.293476270,1,1,1
0.293476280,1,0,1
0.293476360,0,1,1
0.293476440,1,0,1
0.293476520,1,1,1
0.293476530,0,1,1
0.293476610,0,0,1
0.293476620,1,0,1
0.293476940,0,1,1
0.293477110,0,0,1
0.293477120,1,0,1
0.293477190,0,1,1
0.293477360,0,0,1
0.293477370,1,0,1
0.293477440,0,1,1
0.293477610,0,0,1
0.293477620,1,0,1
0.293477690,0,1,1
0.293477860,0,0,1
0.293477870,1,0,1
0.293477940,0,1,1
0.293478020,1,1,1
0.293478030,1,0,1
0.293478190,0,1,1
0.293478270,1,1,1
0.293478280,1,0,1
0.293478360,0,1,1
0.293478440,1,0,1
0.293478520,1,1,1
0.293478530,0,1,1
0.293478610,0,0,1
0.293478620,1,0,1
0.293478690,0,1,1
0.293478770,1,1,1
0.293478780,1,0,1
0.293478860,0,1,1
0.293478940,1,0,1
0.293479020,1,1,1
0.293479030,0,1,1
0.293479190,1,0,1
0.293479270,1,1,1
0.293479280,0,1,1
0.293479360,0,0,1
0.293479370,1,0,1
0.293479520,1,1,1
0.293479530,0,1,1
0.293479610,0,0,1
0.293479620,1,0,1
0.293479690,0,1,1
0.293479770,1,1,1
0.293479780,1,0,1
0.293479860,0,1,1
0.293479940,1,0,1
0.293480020,1,1,1
0.293480030,0,1,1
